Item Number,Item Name,Item Description,Attribute,Size,Regular Price,Department Name,Manufacturer,Qty 1
1940,R50B-43,FIRESTONE WINTERFORCE 2,SL,205/55R16,65.368,AUTO TIRES,FIRESTONE,1
1941,R40A-35,BRIDGESTONE POTENZA S-04,XL,255/40R18,159.992,AUTO TIRES,BRIDGESTONE,1
1942,R40A-36,BRIDGESTONE DRIVEGUARD,XL,225/45RF18,166.392,AUTO TIRES,BRIDGESTONE,1
1943,R40A-37,WATERFALL ECO DYNAMIC,XL,225/45R18,59.176,AUTO TIRES,WATERFALL,1
1944,R40A-38,LEXANI LXUHP-207,XL,225/40ZR18,49.576,AUTO TIRES,LEXANI,1
1945,R40A-39,BRIDGESTONE BLIZZAK WS80,SL,195/65R15,56.208,AUTO TIRES,BRIDGESTONE,1
1946,R40A-40,WATERFALL ECO DYNAMIC,XL,225/40R18,41.232,AUTO TIRES,WATERFALL,1
1947,R40A-41,BFGOODRICH TOURING T/A,SL,185/65R14,65.776,AUTO TIRES,BFGOODRICH,1
1948,R40A-42,NEXEN N'PRIZ AH8,SL,215/55R18,95.984,AUTO TIRES,NEXEN,1
1949,R40A-43,WATERFALL ECO DYNAMIC,SL,215/60R16,38.52,AUTO TIRES,WATERFALL,1
950,R50B-52,ACHILLES ATR SPORT,XL,205/50ZR17,46.376,AUTO TIRES,ACHILLES,1
951,1981 FORD RANGER,VIN# 1FTHF25E1BPA46366,,,5000,VEHICLES,,1
952,R50B-53,SUPERMAX TM-1,SL,235/70R16,47.968,AUTO TIRES,SUPERMAX,1
954,R50B-54,SUPERMAX TM-1,SL,205/55R16,39.968,AUTO TIRES,SUPERMAX,1
955,Tire Tax,,,,0,System,,-161
956,R41B-41,SUPERMAX TM-1,SL,215/60R16,42.368,AUTO TIRES,SUPERMAX,1
957,R14A-19,COOPER CS5 ULTRA TOURING,SL,205/55R16,76.792,AUTO TIRES,COOPER,1
958,R14A-20,FIRESTONE WINTERFORCE 2,SL,205/60R16,69.568,AUTO TIRES,FIRESTONE,1
959,R14A-21,WESTLAKE RADIAL RP18,SL,205/55R16,36.176,AUTO TIRES,WESTLAKE,1
926,MOW-176677,MOWER-176677,,N/A,250,MOWER,,1
927,TIL1-446114,TILLER-446114,,N/A,225,TILLER,,1
928,TIL2-HDF900,TILLER-HDF900,,N/A,300,TILLER,,1
929,R41B-42,ACCELERA M/T-01,C,235/75R15,57.776,AUTO TIRES,ACCELERA,1
930,R50C-46,SUPERMAX TM-1,SL,225/45R17,45.568,AUTO TIRES,SUPERMAX,1
931,T11-020699,TRAILER-020699,,4'X8',599,TRAILER,,1
932,R50C-47,NITTO TERRA GRAPPLER ALL TERRAIN,E,315/50R24,512,AUTO TIRES,NITTO,1
933,R5B-22,SOLAR 4XS+,SL,215/65R16,43.2,AUTO TIRES,SOLAR,1
934,S1-03,ACHILLES ATR SPORT 2,XL,225/45ZR18,53.6,AUTO TIRES,ACHILLES,1
935,S1-04,SUPERMAX TM-1,SL,215/50R17,46.368,AUTO TIRES,SUPERMAX,1
936,R6A-23,PIRELLI P ZERO NERO GT,XL,245/30ZR20,189.296,AUTO TIRES,PIRELLI,1
937,R41B-43,NEXEN N'PRIZ AH5,SL,215/50R17,80.78,AUTO TIRES,NEXEN,1
938,T18-516736,TRAILER-516736,,6'X12',1650,TRAILER,,1
939,T19-506917,TRAILER-506917,,6'X12',1650,TRAILER,,1
940,T2-272299,TRAILER-272299,,6'X16',2850,TRAILER,,1
941,R6B-23,ACHILLES ATR SPORT 2,XL,225/35ZR20,47.968,AUTO TIRES,ACHILLES,1
942,R5B-21,BRIDGESTONE POTENZA RE980AS,XL,295/30R20,190.392,AUTO TIRES,BRIDGESTONE,1
943,R20C-22,VERCELLI STRADAII,XL,245/45ZR20,71.17,AUTO TIRES,VERCELLI,1
944,R9C-19,ACHILLES ATR SPORT 2,XL,225/35ZR20,47.968,AUTO TIRES,ACHILLES,1
945,S4-07,CARLISLE SAWTOOTH,B,4.10-4,13.59,ATV TIRES,CARLISLE,1
946,T7-516733,TRAILER-516733,,6'X12',1650,TRAILER,,1
947,T8-272298,TRAILER-272298,,6'X16',2850,TRAILER,,1
948,R9C-20,GOODYEAR WRANGLER TRAILRUNNER AT,SL,265/65R18,163.992,AUTO TIRES,GOODYEAR,1
949,R10C-21,HANKOOK DYNAPRO HP2,SL,235/65R17,65.04,AUTO TIRES,HANKOOK,1
960,R14A-22,SUPERMAX TM-1,SL,205/65R15,41.568,AUTO TIRES,SUPERMAX,1
961,R14A-23,SUMIC GT55A,SL,205/55R16,40.16,AUTO TIRES,SUMIC,1
962,R14A-24,COOPER CS5 ULTRA TOURING,SL,205/55R16,76.792,AUTO TIRES,COOPER,1
963,R14C-24,CARLISLE RELIANCE RADIAL ST,D,205/75R14,55.168,TRAILER TIRES,CARLISLE,1
964,R14A-25,GOODYEAR WRANGLER SR-A,SL,245/70R16,87.2,AUTO TIRES,GOODYEAR,1
965,R11A-11,ANTARES COMFORT A5,SL,255/55R18,82.72,AUTO TIRES,ANTARES,1
966,R11B-09,FIRESTONE FIREHAWK AS,SL,245/45R19,125.992,AUTO TIRES,FIRESTONE,1
967,R11B-10,FIRESTONE FIREHAWK AS,SL,245/45R19,125.992,AUTO TIRES,FIRESTONE,1
968,R13A-24,SUPERMAX TM-1,SL,175/70R13,32.768,AUTO TIRES,SUPERMAX,1
969,R13A-25,DOUGLAS ALL SEASON,SL,185/65R15,35.2,AUTO TIRES,DOUGLAS,1
